地名,数值,X,Y
镇南驿,1563,101.27696,25.19655
镇南驿,1555,100.55898,25.47909
赵州,1623,100.3129,25.58517
太和驿,9753,100.16444,25.69783
邓川,1556,100.10021,25.9943
鹤庆,1548,100.17928,26.55942
丽江,9768,100.23599,26.87463
下关,22429,100.22629,25.59047
永平,1552,99.51934,25.46317
永昌,9751,99.16686,25.11244
腾越,9750,98.49498,25.02435
龙陵,1582,98.69038,24.59019
蒙化,9752,100.30888,25.23003
广南,9762,105.062,24.05282
博赛驿,392,106.61168,23.90454
那波,,106.81834,23.73056
田州,397,106.90867,23.73387
平马驿,17421,107.11416,23.60563
果花州,409,107.41062,23.41773
隆安,401,107.68495,23.17817
南宁府,9566,108.31207,22.80615
永淐,450,108.91421,22.80464
南乡,,109.13333,22.6
横州,459,109.26704,22.69296
贵县,420,109.60844,23.09909
浔州,9564,110.07166,23.39457
武宣,419,109.65503,23.59674
象州,418,109.68246,23.95806
柳州,9560,109.4044,24.30999
柳城,379,109.26012,24.52734
融县,354,109.24854,25.06544
怀远,353,109.43596,25.37323
古泥,17317,109.59576,25.78536
宜阳驿,9559,108.65588,24.49073
思恩,375,108.25638,24.82961
洛容,379,109.6091,24.41452
横塘驿,,109.73333,24.48333
永福,352,109.98115,24.98173
苏桥驿,17323,110.05551,25.10777
融安,17316,109.38817,25.21786
怀远镇,17364,108.46484,24.56666
雷塘驿,17389,110.28701,25.00367
阳朔,383,110.48363,24.77776
昭津驿,9561,110.6465,24.63573
合浦,321,109.15,21.68333
博白,452,109.97141,22.27587
郁林,9567,110.14588,22.6321
北流,454,110.34752,22.71418
容县,456,110.55103,22.86359
藤县,422,110.90428,23.37312
濛江,,110.74472,23.4675
白马,,110.59278,23.46028
大乌,17459,110.50967,23.38817
丹竹,,110.52222,23.46944
平南,421,110.39474,23.54998
碧潭驿,17461,110.21003,23.60027
北海,,109.08052,21.61303
安铺,,110.01667,21.45
荔波,515,107.8784,25.41436
来远驿,516,107.54275,25.82907
沅水驿,9623,109.68408,27.4473
綦江,1278,106.63931,29.02526
松坎,17537,106.85136,28.54283
遵义,9572,106.9316,27.69562
开州驿,467,106.96738,27.05886
修文,489,106.59193,26.843
武冈,725,110.62229,26.73071
洪江驿,18773,109.9916,27.11278
黔阳,712,109.81185,27.19513
靖州,9625,109.69478,26.57576
会同,721,109.71355,26.86149
永定卫,687,110.48471,29.12795
