ID,vol,author,add1,x,y,,
264,,朱叔麟,義烏,120.07162,29.30009,,
265,,李洧孫,寧海,121.42555,29.28362,,
271,,張楫,大名,115.13826,36.24564,,
274,,張雄飛,臨沂,118.34095,35.07156,,
275,,張伯淳,崇德,120.41874,30.53045,,
276,,張之翰,邯郸,114.47,36.6,,
277,,劉敏中,章丘,117.4854,36.8169,,
282,,孟祺,符離,116.9714,33.64237,,
283,,苟宗道,清苑,115.50209,38.8557,,
286,,白棟,太原,112.56483,37.87375,,
287,,張宗演,貴溪,117.20227,28.2879,,
288,,家鉉翁,眉州,103.83146,30.0505,,
290,,戴表元,奉化,121.40691,29.65166,,
291,,陳普,寧德,119.51727,26.66122,,
293,,黄順翁,南城,116.62745,27.55972,,
294,,尚野,保定,116.36626,39.00622,,
295,,丘葵,同安,118.14412,24.73605,,
300,,陳傑,分寧,114.55963,29.03871,,
301,,黄公紹,邵武,117.4834,27.33769,,
302,,吳朝陽,光化,111.62382,32.46271,,
304,,釋祖乘,永濟,110.33231,34.83513,,
305,,釋仁德,許州,113.81975,34.03139,,
307,,何瑋,易縣,115.49348,39.34904,,
309,,苑芝,高陽,115.7742,38.68891,,
311,,趙必（王象）,東莞,113.74982,23.04662,,
312,,王構,東平,125.52363,42.66988,,
313,,胡渭,諸暨,120.22766,29.71314,,
314,,李溥光,大同,113.29639,40.09284,,
315,,石延祚,陽穀,115.77429,36.11476,,
319,,熊朋來,豫章,115.89772,28.6749,,
321,,白恪,真定,114.56364,38.14011,,
322,,郝天挺,太原,112.56483,37.87375,,
323,,釋希陵,義烏,120.07162,29.30009,,
324,,牟應龍,吳興,120.1,30.86,,
325,,甘楚材,廣漢,104.25,30.99,,
327,,胡一桂,婺源,117.84459,29.24473,,
328,,王公孺,汲縣,114.07027,35.41038,,
330,,范震,唐山,114.69869,37.33981,,
333,,張英,高陽,115.7742,38.68891,,
334,,張履,郇城,110.78,35.15,,
337,,張留孫,貴溪,117.20227,28.2879,,
338,,白珽,錢塘,120.16862,30.29412,,
339,,劉賡,治水,115.08,36.97,,
340,,劉因,容城,115.86572,39.05165,,
341,,陶師淵,獲嘉,113.66022,35.26813,,
345,,王道安,孟縣,112.7828,34.90318,,
348,,靳元敬,潞州,113.10349,36.18354,,
349,,顏浹,鳳陽,117.53775,32.86535,,
359,,姚文龍,新昌,120.90211,29.49465,,
361,,董諒,寧陵,115.31537,34.44598,,
365,,顧泳,汴京,114.35,34.79,,
369,,謝翱,長溪,119.9904,26.88346,,
370,,胡長孺,永康,120.02525,28.89727,,
372,,吳澄,崇仁,116.06158,27.75564,,
375,,程鉅夫,建昌,115.76182,29.08783,,
380,,董庭諫,長平,112.88,35.48,,
389,,楊蔚,南陽,112.53547,33.00168,,
392,,秦長卿,洛陽,112.38263,34.66528,,
394,,王天挺,泰安,117.12719,36.189,,
397,,邢允修,定襄,112.94377,38.49269,,
398,,孟宗寶,餘杭,119.9406,30.27177,,
399,,趙孟何,鄞縣,121.54266,29.86632,,
400,,趙孟僩,黃巌,121.27,28.64,,
401,,劉泰,鄆城,115.93501,35.60506,,
402,,段紹隆,晉城,112.83916,35.50432,,
403,,苑黼,高陽,115.7742,38.68891,,
408,,俞時中,浦江,119.88368,29.45871,,
412,,韓冲,汲縣,114.07027,35.41038,,
413,,胡炳文,婺源,117.84459,29.24473,,
414,,徐明善,德興,117.58012,28.95341,,
415,,鮑壽孫,歙縣,118.43394,29.86577,,
416,,薛友諒,上邦,105.69,34.6,,
418,,程直方,婺源,117.84459,29.24473,,
419,,張文彬,昌樂,118.83671,36.70358,,
420,,張榘,潤州,119.44429,32.20649,,
421,,俞浙,紹興,120.58,30.01,,
422,,吳謙,浦江,119.88368,29.45871,,
423,,衛謙,華亭,121.22764,31.00948,,
424,,錢重鼎,吳縣,120.61862,31.31271,,
425,,王炎午,安福,114.60845,27.38246,,
426,,張仲壽,錢塘,120.16862,30.29412,,
427,,韓信同,寧德,119.51727,26.66122,,
428,,王約,真定,114.56364,38.14011,,
429,,陸文圭,江陰,120.26609,31.90877,,
431,,陳櫟,休寧,118.17577,29.78119,,
432,,任士林,奉化,121.40691,29.65166,,
434,,盧克治,濮陽,115.07806,35.65017,,
436,,王瑀,沁水,112.17013,35.6904,,
437,,余良輔,金陵,118.78,32.04,,
443,,韓仲元,壺關,113.19962,36.1135,,
444,,魏必復,順聖,114.5913,40.2264,,
446,,熊禾,建陽,118.10537,27.33988,,
448,,劉坦,廬陵,114.97128,27.10324,,
450,,劉坦,廬陵,114.97128,27.10324,,
451,,徐瑞,鄱陽,116.66383,28.99417,,
452,,徐瑞,東平,125.52363,42.66988,,
455,,趙孟頫,湖州,120.09931,30.86496,,
456,,同恕,奉元,108.95,34.27,,
457,,王旭,永平,99.51934,25.46317,,
458,,吳渭,浦江,119.88368,29.45871,,
459,,昌士氣,寧國,118.97754,30.61997,,
460,,黄庚,天台,121.02656,29.13826,,
461,,仇遠,錢塘,120.16862,30.29412,,
462,,沈義甫,震澤,120.63779,31.16706,,
463,,黄應旂,祁門,117.70698,29.85415,,
464,,盛象翁,黄巖,121.27,28.64,,
466,,史杠,永清,116.49061,39.32571,,
468,,趙璧,陽穀,115.77429,36.11476,,
469,,權秉忠,黎城,113.38003,36.50434,,
472,,陳存,龍泉,119.12091,28.08256,,
476,,郝允中,河内,112.92,35.08,,
477,,阮泳,香山,113.3736,22.52581,,
480,,郭晦,嘉興,120.7532,30.76747,,
481,,陳德通,長平,112.88,35.48,,
489,,許師潜,定襄,112.94377,38.49269,,
504,,李廷實,陵川,113.27701,35.77813,,
505,,解節亨,渤海,118.1031,37.4769,,
509,,程子敬,歙縣,118.43394,29.86577,,
510,,許愉,溧水,119.02286,31.65656,,
512,,常定述,光山,114.89877,32.0097,,
514,,楊璧,西和,105.29073,34.01193,,
516,,汪夢斗,績溪,118.58411,30.07777,,
519,,李孟,上黨,113.10348,36.18354,,
520,,曹伯啟,碭山,116.34025,34.42788,,
522,,釋圓至,高安,115.37228,28.4256,,
523,,龍仁夫,永新,114.23687,26.94556,,
524,,李之紹,平陰,116.44867,36.28693,,
525,,楊遇,玉田,117.75478,39.88367,,
527,,趙時遠,吳江,120.63779,31.16706,,
529,,馮子振,攸州,113.34333,27.00403,,
530,,吳存,鄱陽,116.66383,28.99417,,
531,,程復心,婺源,117.84459,29.24473,,
532,,宋超,樂平,113.6968,37.60836,,
533,,劉將孫,廬陵,114.97128,27.10324,,
534,,王俣,東平,125.52363,42.66988,,
535,,張民獻,潞州,113.10349,36.18354,,
543,,程應鼎,旌德,118.53877,30.29102,,
544,,王奎,鄞縣,121.54266,29.86632,,
546,,張民獻,潞州,113.10349,36.18354,,
549,,李誠,嘉祥,116.34298,35.40069,,
550,,李穉賓,衛輝,114.05,35.44,,
551,,郭松年,商州,109.93246,33.86989,,
552,,陳自立,上虞,120.97359,29.95265,,
553,,陳孚,臨海,121.1206,28.84313,,
554,,黄超然,黄巖,121.27,28.64,,
556,,俞琰,長洲,120.61862,31.31271,,
557,,陸垕,江陰,120.26609,31.90877,,
558,,范霖,縉雲,120.05844,28.64839,,
559,,鄧文原,杭州,120.16862,30.29412,,
560,,蒲道源,青神,103.84511,29.83728,,
561,,張楧,錢塘,120.16862,30.29412,,
562,,張思明,輝州,113.79414,35.45868,,
563,,陳深,吳縣,120.61862,31.31271,,
564,,石巖,鎮江,119.44,32.2,,
565,,宋无,晉陵,119.9523,31.78278,,
566,,雷思齊,臨川,116.35134,27.98478,,
567,,管道杲,吳興,120.1,30.86,,
569,,劉浩然,定襄,112.94377,38.49269,,
570,,劉岳申,吉水,115.13225,27.21437,,
571,,趙世延,雲中,113.29639,40.09284,,
573,,汪炎昶,婺源,117.84459,29.24473,,
574,,王德明,嘉定,121.24902,31.38584,,
575,,汪巽元,休寧,118.17577,29.78119,,
576,,管道昇,吳興,120.1,30.86,,
577,,郭士文,真定,114.56364,38.14011,,
578,,林起宗,順德,113.25392,22.84786,,
579,,馮德秀,遂寧,105.81228,30.19446,,
580,,釋明本,新城,115.98756,39.24595,,
581,,齊履謙,大名,115.13826,36.24564,,
582,,張淵,吳江,120.63779,31.16706,,
583,,張珪,定興,115.77419,39.26959,,
584,,陳顥,清州,116.82543,38.58071,,
585,,孟淳,隨州,113.36982,31.71511,,
587,,劉詵,吉水,115.13225,27.21437,,
588,,李元澧,真定,114.56364,38.14011,,
589,,鄭千龄,歙縣,118.43394,29.86577,,
590,,張夢應,益州,104.078,30.65038,,
591,,楊德宷,上饒,117.96489,28.45069,,
592,,薛觀,鄞縣,121.54266,29.86632,,
593,,王士熙,東平,125.52363,42.66988,,
594,,阿中,樂安,118.40031,37.0498,,
597,,長春壺天,平水,111.22,35.62,,
599,,段紹先,鎮陽,113.37,38.01,,
600,,薛邦榮,聞喜,111.21721,35.35772,,
602,,王容,山陽,119.14111,33.50279,,
603,,李守,利州,106.32846,24.31197,,
604,,張文谦,沙河,114.35181,36.88463,,
608,,張德輝,交城,112.15627,37.54441,,
611,,李國維,淄川,117.96096,36.63599,,
612,,李謹思,餘干,116.682,28.69155,,
619,,吴存,鄱陽,116.66383,28.99417,,
620,,史周卿,四明,121.56,29.86,,
621,,梁椅,麗水,119.91301,28.44873,,
627,,陳暠伯,奉化,121.40691,29.65166,,
628,,張好古,建安,118.32378,27.03886,,
630,,翟龕,東莞,113.74982,23.04662,,
632,,釋宗實,南海,113.25607,23.13462,,
633,,李琳,長沙,112.97813,28.1982,,
634,,梁益,江陰,120.26609,31.90877,,
635,,李濤,曲陽,114.6902,38.62145,,
636,,李淦,南城,116.62745,27.55972,,
638,,李世傑,濟南,117,36.65,,
642,,陳公凱,浦江,119.88368,29.45871,,
643,,陳澔,都昌,116.18919,29.27256,,
644,,張?,襄垣,113.04076,36.53459,,
647,,陳思善,廬陵,114.97128,27.10324,,
652,,宋景祥,高平,112.91959,35.79206,,
653,,宋景祥,高平,112.91959,35.79206,,
654,,田衍,蒙城,116.55575,33.26864,,
655,,王利用,潞縣,116.7374,39.9043,,
660,,張鼎,汴,114.35,34.79,,
662,,柯謙,仙居,120.73346,28.85221,,
663,,李質,潞城,113.22115,36.33509,,
665,,賈道存,沂水,118.62395,35.79103,,
666,,周之貞,長清,116.72206,36.55182,,
676,,胡初翁,婺源,117.84459,29.24473,,
677,,鄒民則,上高,114.92675,28.24137,,
678,,王汝楫,武鄉,112.91627,36.82682,,
680,,王献可,遂安,118.7384,29.48077,,
681,,吕師仲,壽陽,113.16871,37.88678,,
684,,陳紀,東莞,113.74982,23.04662,,
686,,邱應辰,黄巖,121.27,28.64,,
688,,石巖,鎮江,119.44,32.2,,
693,,袁桷,慶元,119.05132,27.6142,,
696,,王天祐,上黨,113.10348,36.18354,,
697,,彭士奇,廬陵,114.97128,27.10324,,
698,,王惟一,華亭,121.22764,31.00948,,
704,,張克己,禹縣,113.47,34.16,,
705,,李春叟,東莞,113.74982,23.04662,,
707,,張應戍,雅安,102.98437,29.98556,,
709,,王元吉,汾陽,111.77903,37.2634,,
710,,王元弼,孝義,111.78277,37.14323,,
711,,蔡人傑,新昌,120.90211,29.49465,,
713,,李道純,都梁,110.61,26.73,,
714,,月忽乃,燕京,116.46,39.92,,
715,,陳南美,安睦,113.69,31.25,,
716,,文道廣,濮州,115.50356,35.67287,,
717,,王天與,吉安,114.97,27.12,,
718,,李三俊,湘陰,112.8803,28.67621,,
719,,周正,濱州,117.96531,37.47833,,
720,,史烜,真定,114.56364,38.14011,,
721,,釋淨伏,淮安,119.14111,33.50279,,
722,,李師聖,濟南,117,36.65,,
725,,釋了恩,定襄,112.94377,38.49269,,
726,,釋德異,古筠,115.38,28.42,,
729,,丁志純,益都,118.4781,36.69748,,
730,,吳衍,鄄城,115.5,35.57,,
731,,李孚謙,燕山,116.46,39.92,,
733,,賈（有彧）,鹿泉,114.03,38.08,,
734,,王度,處州,119.91301,28.44873,,
735,,馬澤,任丘,116.1002,38.7069,,
736,,洪焱祖,歙縣,118.43394,29.86577,,
739,,宋翼,高平,112.91959,35.79206,,
740,,文如玉,南充,106.08073,30.79899,,
741,,吾衍,錢唐,120.19,30.26,,
742,,周尚之,豐城,115.78578,28.19775,,
743,,曹元用,曹莊,116.34,35.41,,
744,,周馳,聊城,115.98749,36.44671,,
745,,呂師說,安豐,116.67452,32.33413,,
746,,倪淵,烏程,120.09931,30.86496,,
747,,元明善,清河,115.62411,37.07303,,
748,,貢奎,宣城,118.7425,30.94694,,
749,,王澄,浦江,119.88368,29.45871,,
750,,程郇,烏程,120.09931,30.86496,,
752,,黄公望,常熟,120.73379,31.64658,,
753,,吳士諤,永康,120.02525,28.89727,,
756,,唐元,歙縣,118.43394,29.86577,,
758,,張養浩,歷城,117.00149,36.65013,,
760,,許謙,金華,119.64992,29.10471,,
763,,曹鑑,宛平,116.368,39.93143,,
764,,許純甫,華原,108.9805,34.9129,,
765,,釋善入,定海,121.71172,29.9537,,
766,,張與材,貴溪,117.20227,28.2879,,
767,,程端禮,鄞縣,121.54266,29.86632,,
768,,楊载,杭州,120.16862,30.29412,,
769,,范梈,清江,115.39899,28.01557,,
771,,虞集,崇仁,116.06158,27.75564,,
778,,林和之,三山,119.3,26.08,,
779,,張勖,灤州,118.75231,39.73965,,
780,,李庭玉,隴西,104.6356,35.00714,,
782,,鄭滁孫,處州,119.91301,28.44873,,
783,,李元,真定,114.56364,38.14011,,
784,,張翼,屯留,112.88245,36.32195,,
786,,何竟孫,曹州,115.44413,35.25025,,
789,,黄和中,上虞,120.97359,29.95265,,
793,,陳鈞,永嘉,120.65322,28.01829,,
797,,陳榮龍,奉化,121.40691,29.65166,,
801,,陳采,建安,118.32378,27.03886,,
802,,韓擇,奉元,108.95,34.27,,
805,,陳膺,海陵,119.91124,32.49587,,
808,,陳文彦,東平,125.52363,42.66988,,
810,,王國賓,榆社,112.96366,37.07094,,
811,,趙天麟,東平,125.52363,42.66988,,
813,,朱士立,平陽,120.55644,27.67572,,
816,,初才,福山,121.26053,37.49328,,
820,,趙瑩,相州,114.3548,36.0976,,
823,,司居敬,恩州,111.95895,21.84542,,
825,,吳天雷,諸暨,120.22766,29.71314,,
827,,白賁,錢塘,120.16862,30.29412,,
834,,劉偉,太原,112.56483,37.87375,,
835,,陳康祖,龍泉,119.12091,28.08256,,
837,,馬曙,滏陽,114.37424,36.35904,,
838,,李郁,廣平,114.93684,36.48052,,
839,,方天麟,臨安,119.72128,30.23106,,
