ID,作者,籍贯,今地f,x,y,,
292,周潤祖,臨海,臨海,121.1206,28.84313,,
293,高暘,瑞安,瑞安,120.63069,27.79051,,
294,胡隆臣,山陰,紹興,120.57826,30.00452,,
295,程斗,開化,開化,118.40488,29.14485,,
296,沈石,吳興,吳興,120.1,30.86,,
297,毛南翰,黄巖,黄巖,121.27,28.64,,
298,范祖幹,金華,金華,119.64992,29.10471,,
299,沈明遠,吳興,吳興,120.1,30.86,,
300,陳性定,縉雲,,120.05844,28.64839,,
301,趙宜浩,山陰,山陰,120.57826,30.00452,,
302,陶凱,臨海,臨海,121.1206,28.84313,,
303,陳及時,東陽,東陽,120.22798,29.26057,,
304,解傑,永嘉,温州,120.65322,28.01829,,
305,趙奕,吳興,,120.1,30.86,,
306,孔克表,平陽,平陽,120.55644,27.67572,,
307,陳達,永嘉,永嘉,120.65322,28.01829,,
308,林希元,天台,天台,121.02656,29.13826,,
309,趙肅,吳興,吳興,120.1,30.86,,
310,張順祖,天台,天台,121.02656,29.13826,,
311,王大本,寧海,寧海,121.42555,29.28362,,
312,洪贇,遂安,遂安,118.7384,29.48077,,
313,黄鄰,諸暨,諸暨,120.22766,29.71314,,
314,葉廣居,嘉禾,嘉興,120.7532,30.76747,,
315,許德柔,鹽官,海寧,120.5375,30.40628,,
316,錢鼒,湖州,湖州,120.09931,30.86496,,
317,景星,餘姚,餘姚,121.15276,30.04907,,
318,宋杞,錢塘,杭州,120.19,30.26,,
319,張舜咨,錢塘,錢塘,120.19,30.26,,
320,張熙,天台,天台,121.02656,29.13826,,
321,陳嘉績,會稽,會稽,120.57826,30.00452,,
322,戰惟肅,杭州,杭州,120.19,30.26,,
323,王宥,紹興,紹興,120.58,30.01,,
324,陳德永,黄巖,黄巖,121.27,28.64,,
325,童梓,蘭溪,蘭溪,119.47885,29.20445,,
326,王至,餘姚,餘姚,121.15276,30.04907,,
327,曹睿,永嘉,永嘉,120.65322,28.01829,,
328,范洪文,甬上,寧波,121.56,29.86,,
329,晉懸,永嘉,温州,120.65322,28.01829,,
330,左弘道,嘉興,嘉興,120.7532,30.76747,,
331,林右,天台,天台,121.02656,29.13826,,
332,萬規,温州,温州,120.65,28.01,,
333,徐昭文,上虞,上虞,120.97359,29.95265,,
334,陳恬,上虞,上虞,120.97359,29.95265,,
335,陳子翬,奉化,奉化,121.40691,29.65166,,
336,陳沅,剡源,新昌,120.89,29.49,,
337,方惟糙,睦州,建德,119.49886,29.54448,,
338,王永,松夏,松夏,#N/A,#N/A,,
339,趙偕,慈谿,慈谿,121.4442,29.9792,,
340,吕溥,永康,永康,120.02525,28.89727,,
341,王冕,諸暨,諸暨,120.22766,29.71314,,
342,胡天游,平江,平江,113.57494,28.70981,,
343,葉顒,金華,金華,119.64992,29.10471,,
344,劉仁本,天台,天台,121.02656,29.13826,,
345,邵亨貞,淳安,淳安,118.96516,29.61229,,
346,王禮,廬陵,廬陵,114.97128,27.10324,,
347,陳高,平陽,平陽,120.55644,27.67572,,
