ID,add2,add,number,x,y,所属,,
380,房山,房山,1,115.98472,39.71048,北京,,
381,肥乡,肥鄉,1,114.8031,36.55203,河北,,
382,分宁,分寧,1,114.55963,29.03871,江西,,
383,汾西,汾西,1,111.56273,36.65054,山西,,
384,丰州,豐州,1,107.9624,40.93678,内蒙古,,
385,冯翊,馮翊,1,109.9481,34.7968,陝西,,
386,奉天,奉天,1,108.2356,34.5303,陝西,,
387,凤阳,鳳陽,1,117.53775,32.86535,安徽,,
388,扶风,扶風,1,107.86849,34.36182,陝西,,
389,浮山,浮山,1,111.84244,35.96744,山西,,
390,符离,符離,1,116.9714,33.64237,安徽,,
391,福安,福安,1,119.64677,27.08866,福建,,
392,福山,福山,1,121.26053,37.49328,山東,,
393,富平,富平,1,109.16157,34.75443,陝西,,
395,盖州,蓋州,1,122.3695,40.3967,遼寧,,
396,甘泉,甘泉,1,109.34457,36.27863,江蘇,,
397,赣州,贛州,1,114.93248,25.847,江西,,
398,公安,公安,1,112.22649,30.05753,湖北,,
399,缑云,缑雲,1,112.77,34.73,河南,,
400,古并,古并,1,112.53,37.87,山西,,
401,古筠,古筠,1,115.38,28.42,江西,,
403,古田,古田,1,118.7849,26.60171,福建,,
404,关中,關中,1,108.71418,34.337882,陝西,,
405,观城,觀城,1,115.37628,35.94408,山東,,
406,管城,管城,1,113.64131,34.75808,河南,,
407,冠州,冠州,1,115.43623,36.47313,山東,,
408,光山,光山,1,114.89877,32.0097,河南,,
409,广德,廣德,1,119.42019,30.89469,安徽,,
410,广汉,廣漢,1,104.25,30.99,四川,,
411,广陵,廣陵,1,114.27605,39.76355,江蘇,,
412,广平,廣平,1,114.93684,36.48052,河北,,
413,虢县,虢縣,1,104.91336,33.39463,陝西,,
414,海宁,海寧,1,120.5375,30.40628,浙江,,
415,邯郸,邯郸,1,114.47,36.6,河北,,
416,韩城,韓城,1,110.43764,35.46594,陝西,,
417,行唐,行唐,1,114.54361,38.43607,河北,,
418,濠州,濠州,1,117.64022,32.90163,安徽,,
419,合肥,合肥,1,117.27646,31.86446,安徽,,
420,衡阳,衡陽,1,112.59704,26.90162,湖南,,
421,衡州,衡州,1,112.59704,26.90162,湖南,,
422,弘州,弘州,1,114.1847,40.142,河北,,
423,侯官,侯官,1,119.32158,26.07395,福建,,
424,许昌,許昌,1,114.0163,34.16586,河南,,
425,濩泽,濩澤,1,112.418,35.49059,山西,,
426,华阳,華陽,1,104.078,30.65038,四川,,
427,华阴,華陰,1,110.08936,34.56831,陝西,,
428,华原,華原,1,108.9805,34.9129,陝西,,
429,淮安,淮安,1,119.14111,33.50279,江蘇,,
430,淮南,淮南,1,116.98,32.62,安徽,,
431,淮阴,淮陰,1,118.93359,33.53131,江蘇,,
432,怀宁,懷寧,1,117.03468,30.5123,安徽,,
434,桓台,桓臺,1,118.05,36.78,山東,,
435,黄梅,黄梅,1,115.93,30.09,湖北,,
436,黄巌,黃巌,1,121.27,28.64,浙江,,
438,辉州,輝州,1,113.79414,35.45868,河南,,
439,徽州,徽州,1,106.08667,33.77755,安徽,,
440,惠安,惠安,1,118.80282,25.02208,福建,,
441,惠州,惠州,1,114.41498,23.08979,河北,,
442,会川,會川,1,102.2201,26.6606,河北,,
443,会同,會同,1,109.71355,26.86149,湖南,,
444,霍林,霍林,1,118.069534,43.606031,內蒙古,,
445,霍邑,霍邑,1,111.72808,36.56382,山西,,
446,获嘉,獲嘉,1,113.66022,35.26813,河南,,
447,获鹿,獲鹿,1,114.30772,38.08311,河北,,
448,吉州,吉州,1,110.67517,36.09563,江西,,
449,即墨,即墨,1,120.45041,36.38211,山東,,
450,蓟州,薊州,1,117.40182,40.04386,河北,,
451,绩溪,績谿,1,118.57,30.07,安徽,,
452,嘉定,嘉定,1,121.24902,31.38584,上海,,
453,嘉禾,嘉禾,1,120.7532,30.76747,浙江,,
454,郏县,郏縣,1,113.19,33.98,河南,,
455,建德,建德,1,117.03459,30.12419,安徽,,
456,建康,建康,1,118.78,32.04,江蘇,,
457,剑南,劍南,1,104.194851,30.832395,四川,,
458,江都,江都,1,119.43719,32.39127,江蘇,,
459,江陵,江陵,1,112.19077,30.35044,湖北,,
461,将乐,將樂,1,117.45502,26.72082,福建,,
462,绛州,絳州,1,111.21615,35.61641,山西,,
463,交城,交城,1,112.15627,37.54441,山西,,
464,焦山,焦山,1,119.44,32.2,江蘇,,
465,胶水,膠水,1,119.94828,36.78824,山東,,
466,胶州,膠州,1,120.0073,36.30003,山東,,
467,解县,解縣,1,110.85544,34.91178,山西,,
468,金川,金川,1,102.86881,31.40469,江西,,
469,金台,金臺,1,107.241165,34.365429,河北,,
470,金阎,金閻,1,120.62,31.32,江蘇,,
471,晋阳,晉陽,1,112.5121,37.709,山西,,
472,京口,京口,1,119.44,32.2,江蘇,,
473,京兆,京兆,1,108.907,34.24642,陝西,,
474,旌德,旌德,1,118.53877,30.29102,安徽,,
476,靖安,靖安,1,115.35664,28.86102,江西,,
478,九江,九江,1,115.97,29.71,江西,,
479,居延,居延,1,100.88,41.9,甘肅,,
480,莒州,莒州,1,118.83442,35.58189,山東,,
481,句章,句章,1,121.16,30.04,浙江,,
482,钧州,鈞州,1,113.46706,34.16249,河南,,
483,开封,開封,1,114.34333,34.78548,河南,,
484,昆陵,昆陵,1,119.95,31.79,江蘇,,
485,兰溪,蘭谿,1,119.47885,29.20445,浙江,,
486,兰阳,蘭陽,1,114.81012,34.82652,河南,,
487,耒阳,耒陽,1,112.867403,26.427723,湖南,,
488,犁邱,犁邱,1,116.86,37.2,河北,,
489,黎城,黎城,1,113.38003,36.50434,山西,,
490,蠡县,蠡縣,1,115.5747,38.49006,河北,,
491,蠡州,蠡州,1,115.5747,38.49006,河北,,
492,澧城,澧城,1,111.75,29.65,陝西,,
493,澧州,澧州,1,111.75699,29.64015,湖南,,
494,利州,利州,1,106.32846,24.31197,遼寧,,
495,溧水,溧水,1,119.02286,31.65656,江蘇,,
496,溧阳,溧陽,1,119.486,31.43071,江蘇,,
497,历山,歷山,1,118.465508,35.590851,山東,,
498,连江,連江,1,119.53447,26.19802,福建,,
499,梁溪,梁溪,1,120.29,31.59,江蘇,,
500,梁邹,梁鄒,1,117.979779,37.391073,山東,,
501,聊城,聊城,1,115.98749,36.44671,山東,,
502,林州,林州,1,113.81281,36.0688,河南,,
503,临安,臨安,1,119.72128,30.23106,浙江,,
504,临潢,臨潢,1,118.914762,42.267574,内蒙古,,
505,临晋,臨晉,1,110.55164,35.09781,山西,,
506,临清,臨清,1,115.70152,36.84621,山東,,
507,临潼,臨潼,1,109.21272,34.36835,陝西,,
508,临武,臨武,1,112.53838,25.28151,湖南,,
510,陵州,陵州,1,104.1521,30.0041,山東,,
511,灵石,靈石,1,111.77622,36.84215,山西,,
512,六安,六安,1,116.49412,31.7546,安徽,,
513,龙洲,龍洲,1,104.7,31.8,四川,,
515,庐江,廬江,1,117.28835,31.25336,安徽,,
516,庐州,廬州,1,117.27646,31.86446,安徽,,
517,鲁桥,魯橋,1,116.59,35.38,山東,,
518,鲁山,魯山,1,112.90194,33.73712,河南,,
519,鹿泉,鹿泉,1,114.03,38.08,河北,,
520,潞县,潞縣,1,116.7374,39.9043,0,,
521,罗山,羅山,1,114.52224,32.20237,江西,,
522,罗田,羅田,1,115.3904,30.79035,湖北,,
523,罗源,羅源,1,119.54493,26.49091,福建,,
524,满城,滿城,1,115.31562,38.94772,河北,,
526,蒙阴,蒙陰,1,117.92838,35.71375,山東,,
527,孟县,孟縣,1,112.7828,34.90318,河南,,
528,孟州,孟州,1,112.7828,34.90318,山西,,
529,沔水,沔水,1,104.194851,30.832395,湖北,,
530,沔阳,沔陽,1,113.2366,30.18954,湖北,,
531,闵乡,閔鄉,1,113.946555,35.274595,河南,,
